method,source,correct,accuracy
superwain,N1_SNR0,312,0.12278630460448642
superwain,N1_SNR10,1189,0.46792601338055884
superwain,N1_SNR15,1909,0.7512790240062968
superwain,N1_SNR20,2308,0.9083038173947264
superwain,N1_SNR-5,256,0.10074773711137347
superwain,N1_SNR5,572,0.22510822510822512
superwain,N2_SNR0,325,0.12790240062967337
superwain,N2_SNR10,1034,0.4069264069264069
superwain,N2_SNR15,1916,0.7540338449429359
superwain,N2_SNR20,2367,0.9315230224321134
superwain,N2_SNR-5,264,0.1038961038961039
superwain,N2_SNR5,446,0.17552144824872098
superwain,N3_SNR0,258,0.10153482880755609
superwain,N3_SNR10,751,0.2955529319165683
superwain,N3_SNR15,1650,0.6493506493506493
superwain,N3_SNR20,2251,0.8858717040535222
superwain,N3_SNR-5,255,0.10035419126328217
superwain,N3_SNR5,372,0.14639905548996457
superwain,N4_SNR0,299,0.11767020857929948
superwain,N4_SNR10,877,0.3451397087760724
superwain,N4_SNR15,1488,0.5855962219598583
superwain,N4_SNR20,2121,0.8347107438016529
superwain,N4_SNR-5,263,0.10350255804801259
superwain,N4_SNR5,511,0.20110192837465565
superwain,clean,2526,0.9940968122786304
